feature,coefficient
z_mu_b_58,4.571333550991174
z_mu_b_37,4.172666100934676
z_mu_b_39,2.808604506974531
z_mu_b_90,2.758190973596488
z_mu_b_80,2.566638050410103
z_mu_b_47,2.3280582519449027
z_mu_b_53,2.170897373163513
z_mu_b_78,1.6122745334450657
z_mu_b_41,1.2576105364889885
z_mu_b_94,1.1653084542004997
z_mu_b_65,1.089503248056878
z_mu_b_67,0.9814490041781119
z_mu_b_69,0.8511596507369953
z_mu_b_75,0.7696874941258265
z_mu_b_48,0.7623122615066558
z_mu_b_95,0.7405994073970014
z_mu_b_91,0.7177864976202589
z_mu_b_88,0.6955662311751344
z_mu_b_49,0.6914069978644874
z_mu_b_62,0.6097431030346815
z_mu_b_96,0.49807803929790073
z_mu_b_25,0.4833637841823112
z_mu_b_92,0.44089901243244767
z_mu_b_44,0.4362075289773052
z_mu_b_93,0.30236073297780974
z_mu_b_52,0.27197959255533327
z_mu_b_42,0.25400863451131334
z_mu_b_36,0.20226214309742832
z_mu_b_30,0.19933899370343824
z_mu_b_56,0.13641544833854466
z_mu_b_83,0.0928402503669368
z_mu_b_63,0.08858836611113535
z_mu_b_45,0.08160143763389283
z_mu_b_68,0.07606589565782279
z_mu_b_81,0.0663330742321496
z_mu_b_22,0.06570197109629773
z_mu_b_82,0.03868683709940282
z_mu_b_43,0.012419705160620437
z_mu_b_64,-0.03542899132494065
z_mu_b_87,-0.04570278749252697
z_mu_b_32,-0.06929721217193303
z_mu_b_31,-0.07835544802289346
z_mu_b_21,-0.10198355474840495
z_mu_b_28,-0.11112174044777429
z_mu_b_99,-0.1120774237074433
z_mu_b_35,-0.1303407368158074
z_mu_b_34,-0.13626671961991635
z_mu_b_51,-0.14294578853170825
z_mu_b_50,-0.18046409264214291
z_mu_b_38,-0.23185079927323138
z_mu_b_23,-0.2652233549642694
z_mu_b_97,-0.30160095619750826
z_mu_b_57,-0.36119236086902373
z_mu_b_33,-0.43860457524175117
z_mu_b_73,-0.44230539910885075
z_mu_b_26,-0.5012225703742051
z_mu_b_40,-0.5865871538423665
z_mu_b_85,-0.589308992511341
z_mu_b_59,-0.5904470558235896
z_mu_b_60,-0.6435133682116015
z_mu_b_89,-0.6475513757359663
z_mu_b_77,-0.6510363323796057
z_mu_b_84,-0.6730255103055547
z_mu_b_98,-0.7071918962883408
z_mu_b_70,-0.749973885155003
z_mu_b_74,-0.7806388084372262
z_mu_b_24,-0.8194692547407817
z_mu_b_71,-0.8239812132207929
z_mu_b_86,-0.8298800853051612
z_mu_b_79,-0.849901210507823
z_mu_b_46,-1.0476553492020035
z_mu_b_54,-1.0649014564586397
z_mu_b_29,-1.3002982532142882
z_mu_b_76,-1.507403138840818
z_mu_b_55,-1.6439943486837956
z_mu_b_72,-2.017009026350688
z_mu_b_61,-2.2278144127067745
z_mu_b_66,-2.5565428463962574
z_mu_b_20,-2.7488514718806925
z_mu_b_27,-3.4495889258425474
z_mu_b_78,2.3513628887012654
z_mu_b_39,2.282252688289664
z_mu_b_85,2.2488079343925684
z_mu_b_75,1.8459807119854656
z_mu_b_81,1.7388778750039695
z_mu_b_43,1.635758108797306
z_mu_b_37,1.6183173303194058
z_mu_b_80,1.4501994623837546
z_mu_b_69,1.1999075268456525
z_mu_b_36,1.1579203124230981
z_mu_b_59,1.127563745483808
z_mu_b_56,1.1200234113657144
z_mu_b_42,1.0560841737416675
z_mu_b_58,0.9605797305948105
z_mu_b_84,0.8821959578307236
z_mu_b_74,0.8437901924504935
z_mu_b_82,0.8104151628375378
z_mu_b_41,0.7719781329707296
z_mu_b_92,0.6824916837086275
z_mu_b_54,0.6013209738380013
z_mu_b_94,0.5701028160893069
z_mu_b_73,0.5700690368659608
z_mu_b_90,0.5414105796455299
z_mu_b_91,0.5236163129072449
z_mu_b_31,0.4971799370475811
z_mu_b_95,0.4762829337050652
z_mu_b_52,0.47054051647682255
z_mu_b_30,0.4004173409826359
z_mu_b_53,0.29485436541954035
z_mu_b_64,0.2875645213907078
z_mu_b_22,0.28649330175656196
z_mu_b_79,0.25701940417182606
z_mu_b_21,0.24903339703181998
z_mu_b_67,0.19181293160894994
z_mu_b_87,0.150425887178309
z_mu_b_63,0.14107660729162325
z_mu_b_26,0.08234653053799891
z_mu_b_25,0.04818575558335031
z_mu_b_55,0.0071535674625166955
z_mu_b_68,-0.00048771046463617825
z_mu_b_83,-0.013618514034740658
z_mu_b_51,-0.03519040015855229
z_mu_b_65,-0.0652263220816874
z_mu_b_60,-0.07064308889170566
z_mu_b_97,-0.09689949597372327
z_mu_b_45,-0.13712112923383604
z_mu_b_93,-0.13984620481894522
z_mu_b_48,-0.15187561535566824
z_mu_b_47,-0.1975943607945307
z_mu_b_20,-0.21117520497583303
z_mu_b_72,-0.3327719075345255
z_mu_b_35,-0.41250585654797733
z_mu_b_62,-0.4825344048830126
z_mu_b_44,-0.49307916624364373
z_mu_b_57,-0.5112739544201665
z_mu_b_66,-0.5225114066319387
z_mu_b_50,-0.5297606253650481
z_mu_b_70,-0.5532723058656295
z_mu_b_33,-0.595367993191024
z_mu_b_86,-0.6682551116921239
z_mu_b_88,-0.6825346662766509
z_mu_b_77,-0.7755076031083814
z_mu_b_29,-0.8164656665553262
z_mu_b_32,-0.8243129415402445
z_mu_b_23,-0.8422207443773161
z_mu_b_96,-0.988296951420798
z_mu_b_27,-1.0278039081874606
z_mu_b_28,-1.0391881917267523
z_mu_b_40,-1.0499310391452044
